email,dominio,nome,sobrenome,smtp_valido,empresa,formato,tipo
anasouza2024@vale.com,vale.com,ana,souza,False,VALE S.A.,nome.sobrenome,
c_souza@vale.com,vale.com,ana,souza,False,VALE S.A.,nome.sobrenome,
souza.c@vale.com,vale.com,ana,souza,True,VALE S.A.,nome.sobrenome,
souzaa@vale.com,vale.com,ana,souza,False,VALE S.A.,nome.sobrenome,
souza.ana@vale.com,vale.com,ana,souza,True,VALE S.A.,nome.sobrenome,
ana.souzas@vale.com,vale.com,ana,souza,True,VALE S.A.,nome.sobrenome,
joão.pereira@vale.com,vale.com,joão,pereira,True,VALE S.A.,nome.sobrenome,
joão@vale.com,vale.com,joão,pereira,False,VALE S.A.,nome.sobrenome,
pereira@vale.com,vale.com,joão,pereira,False,VALE S.A.,nome.sobrenome,
c.pereira@vale.com,vale.com,joão,pereira,True,VALE S.A.,nome.sobrenome,
joão.s@vale.com,vale.com,joão,pereira,True,VALE S.A.,nome.sobrenome,
c.s@vale.com,vale.com,joão,pereira,True,VALE S.A.,nome.sobrenome,
csilva@vale.com,vale.com,joão,pereira,False,VALE S.A.,nome.sobrenome,
pereirajoão@vale.com,vale.com,joão,pereira,False,VALE S.A.,nome.sobrenome,
joão_pereira@vale.com,vale.com,joão,pereira,False,VALE S.A.,nome.sobrenome,
joão-pereira@vale.com,vale.com,joão,pereira,False,VALE S.A.,nome.sobrenome,
joão.pereira1@vale.com,vale.com,joão,pereira,True,VALE S.A.,nome.sobrenome,
joão1@vale.com,vale.com,joão,pereira,False,VALE S.A.,nome.sobrenome,
c.pereira1@vale.com,vale.com,joão,pereira,True,VALE S.A.,nome.sobrenome,
joão99@vale.com,vale.com,joão,pereira,False,VALE S.A.,nome.sobrenome,
joãopereira2024@vale.com,vale.com,joão,pereira,False,VALE S.A.,nome.sobrenome,
c_pereira@vale.com,vale.com,joão,pereira,False,VALE S.A.,nome.sobrenome,
pereira.c@vale.com,vale.com,joão,pereira,True,VALE S.A.,nome.sobrenome,
pereiraj@vale.com,vale.com,joão,pereira,False,VALE S.A.,nome.sobrenome,
pereira.joão@vale.com,vale.com,joão,pereira,True,VALE S.A.,nome.sobrenome,
joão.pereiras@vale.com,vale.com,joão,pereira,True,VALE S.A.,nome.sobrenome,
diretoria@vale.com,vale.com,diretoria,,False,VALE S.A.,nome.sobrenome,cargo
financeiro@vale.com,vale.com,financeiro,,False,VALE S.A.,nome.sobrenome,cargo
contato@vale.com,vale.com,contato,,False,VALE S.A.,nome.sobrenome,cargo
rh@vale.com,vale.com,rh,,False,VALE S.A.,nome.sobrenome,cargo
ti@vale.com,vale.com,ti,,False,VALE S.A.,nome.sobrenome,cargo
suporte@vale.com,vale.com,suporte,,False,VALE S.A.,nome.sobrenome,cargo
carlos.silva@lasa.com.br,lasa.com.br,carlos,silva,False,LOJAS AMERICANAS S.A.,nome.sobrenome,
carlos@lasa.com.br,lasa.com.br,carlos,silva,False,LOJAS AMERICANAS S.A.,nome.sobrenome,
silva@lasa.com.br,lasa.com.br,carlos,silva,False,LOJAS AMERICANAS S.A.,nome.sobrenome,
c.silva@lasa.com.br,lasa.com.br,carlos,silva,False,LOJAS AMERICANAS S.A.,nome.sobrenome,
carlos.s@lasa.com.br,lasa.com.br,carlos,silva,False,LOJAS AMERICANAS S.A.,nome.sobrenome,
c.s@lasa.com.br,lasa.com.br,carlos,silva,False,LOJAS AMERICANAS S.A.,nome.sobrenome,
csilva@lasa.com.br,lasa.com.br,carlos,silva,False,LOJAS AMERICANAS S.A.,nome.sobrenome,
silvacarlos@lasa.com.br,lasa.com.br,carlos,silva,False,LOJAS AMERICANAS S.A.,nome.sobrenome,
carlos_silva@lasa.com.br,lasa.com.br,carlos,silva,False,LOJAS AMERICANAS S.A.,nome.sobrenome,
carlos-silva@lasa.com.br,lasa.com.br,carlos,silva,False,LOJAS AMERICANAS S.A.,nome.sobrenome,
carlos.silva1@lasa.com.br,lasa.com.br,carlos,silva,False,LOJAS AMERICANAS S.A.,nome.sobrenome,
carlos1@lasa.com.br,lasa.com.br,carlos,silva,False,LOJAS AMERICANAS S.A.,nome.sobrenome,
c.silva1@lasa.com.br,lasa.com.br,carlos,silva,False,LOJAS AMERICANAS S.A.,nome.sobrenome,
carlos99@lasa.com.br,lasa.com.br,carlos,silva,False,LOJAS AMERICANAS S.A.,nome.sobrenome,
carlossilva2024@lasa.com.br,lasa.com.br,carlos,silva,False,LOJAS AMERICANAS S.A.,nome.sobrenome,
c_silva@lasa.com.br,lasa.com.br,carlos,silva,False,LOJAS AMERICANAS S.A.,nome.sobrenome,
silva.c@lasa.com.br,lasa.com.br,carlos,silva,False,LOJAS AMERICANAS S.A.,nome.sobrenome,
silvac@lasa.com.br,lasa.com.br,carlos,silva,False,LOJAS AMERICANAS S.A.,nome.sobrenome,
silva.carlos@lasa.com.br,lasa.com.br,carlos,silva,False,LOJAS AMERICANAS S.A.,nome.sobrenome,
carlos.silvas@lasa.com.br,lasa.com.br,carlos,silva,False,LOJAS AMERICANAS S.A.,nome.sobrenome,
ana.souza@lasa.com.br,lasa.com.br,ana,souza,False,LOJAS AMERICANAS S.A.,nome.sobrenome,
ana@lasa.com.br,lasa.com.br,ana,souza,False,LOJAS AMERICANAS S.A.,nome.sobrenome,
souza@lasa.com.br,lasa.com.br,ana,souza,False,LOJAS AMERICANAS S.A.,nome.sobrenome,
c.souza@lasa.com.br,lasa.com.br,ana,souza,False,LOJAS AMERICANAS S.A.,nome.sobrenome,
ana.s@lasa.com.br,lasa.com.br,ana,souza,False,LOJAS AMERICANAS S.A.,nome.sobrenome,
c.s@lasa.com.br,lasa.com.br,ana,souza,False,LOJAS AMERICANAS S.A.,nome.sobrenome,
csilva@lasa.com.br,lasa.com.br,ana,souza,False,LOJAS AMERICANAS S.A.,nome.sobrenome,
souzaana@lasa.com.br,lasa.com.br,ana,souza,False,LOJAS AMERICANAS S.A.,nome.sobrenome,
ana_souza@lasa.com.br,lasa.com.br,ana,souza,False,LOJAS AMERICANAS S.A.,nome.sobrenome,
ana-souza@lasa.com.br,lasa.com.br,ana,souza,False,LOJAS AMERICANAS S.A.,nome.sobrenome,
ana.souza1@lasa.com.br,lasa.com.br,ana,souza,False,LOJAS AMERICANAS S.A.,nome.sobrenome,
ana1@lasa.com.br,lasa.com.br,ana,souza,False,LOJAS AMERICANAS S.A.,nome.sobrenome,
c.souza1@lasa.com.br,lasa.com.br,ana,souza,False,LOJAS AMERICANAS S.A.,nome.sobrenome,
ana99@lasa.com.br,lasa.com.br,ana,souza,False,LOJAS AMERICANAS S.A.,nome.sobrenome,
anasouza2024@lasa.com.br,lasa.com.br,ana,souza,False,LOJAS AMERICANAS S.A.,nome.sobrenome,
c_souza@lasa.com.br,lasa.com.br,ana,souza,False,LOJAS AMERICANAS S.A.,nome.sobrenome,
souza.c@lasa.com.br,lasa.com.br,ana,souza,False,LOJAS AMERICANAS S.A.,nome.sobrenome,
souzaa@lasa.com.br,lasa.com.br,ana,souza,False,LOJAS AMERICANAS S.A.,nome.sobrenome,
souza.ana@lasa.com.br,lasa.com.br,ana,souza,False,LOJAS AMERICANAS S.A.,nome.sobrenome,
ana.souzas@lasa.com.br,lasa.com.br,ana,souza,False,LOJAS AMERICANAS S.A.,nome.sobrenome,
joão.pereira@lasa.com.br,lasa.com.br,joão,pereira,False,LOJAS AMERICANAS S.A.,nome.sobrenome,
joão@lasa.com.br,lasa.com.br,joão,pereira,False,LOJAS AMERICANAS S.A.,nome.sobrenome,
pereira@lasa.com.br,lasa.com.br,joão,pereira,False,LOJAS AMERICANAS S.A.,nome.sobrenome,
c.pereira@lasa.com.br,lasa.com.br,joão,pereira,False,LOJAS AMERICANAS S.A.,nome.sobrenome,
joão.s@lasa.com.br,lasa.com.br,joão,pereira,False,LOJAS AMERICANAS S.A.,nome.sobrenome,
c.s@lasa.com.br,lasa.com.br,joão,pereira,False,LOJAS AMERICANAS S.A.,nome.sobrenome,
csilva@lasa.com.br,lasa.com.br,joão,pereira,False,LOJAS AMERICANAS S.A.,nome.sobrenome,
pereirajoão@lasa.com.br,lasa.com.br,joão,pereira,False,LOJAS AMERICANAS S.A.,nome.sobrenome,
joão_pereira@lasa.com.br,lasa.com.br,joão,pereira,False,LOJAS AMERICANAS S.A.,nome.sobrenome,
joão-pereira@lasa.com.br,lasa.com.br,joão,pereira,False,LOJAS AMERICANAS S.A.,nome.sobrenome,
joão.pereira1@lasa.com.br,lasa.com.br,joão,pereira,False,LOJAS AMERICANAS S.A.,nome.sobrenome,
joão1@lasa.com.br,lasa.com.br,joão,pereira,False,LOJAS AMERICANAS S.A.,nome.sobrenome,
c.pereira1@lasa.com.br,lasa.com.br,joão,pereira,False,LOJAS AMERICANAS S.A.,nome.sobrenome,
joão99@lasa.com.br,lasa.com.br,joão,pereira,False,LOJAS AMERICANAS S.A.,nome.sobrenome,
joãopereira2024@lasa.com.br,lasa.com.br,joão,pereira,False,LOJAS AMERICANAS S.A.,nome.sobrenome,
c_pereira@lasa.com.br,lasa.com.br,joão,pereira,False,LOJAS AMERICANAS S.A.,nome.sobrenome,
pereira.c@lasa.com.br,lasa.com.br,joão,pereira,False,LOJAS AMERICANAS S.A.,nome.sobrenome,
pereiraj@lasa.com.br,lasa.com.br,joão,pereira,False,LOJAS AMERICANAS S.A.,nome.sobrenome,
pereira.joão@lasa.com.br,lasa.com.br,joão,pereira,False,LOJAS AMERICANAS S.A.,nome.sobrenome,
joão.pereiras@lasa.com.br,lasa.com.br,joão,pereira,False,LOJAS AMERICANAS S.A.,nome.sobrenome,
diretoria@lasa.com.br,lasa.com.br,diretoria,,False,LOJAS AMERICANAS S.A.,nome.sobrenome,cargo
financeiro@lasa.com.br,lasa.com.br,financeiro,,False,LOJAS AMERICANAS S.A.,nome.sobrenome,cargo
contato@lasa.com.br,lasa.com.br,contato,,False,LOJAS AMERICANAS S.A.,nome.sobrenome,cargo
rh@lasa.com.br,lasa.com.br,rh,,False,LOJAS AMERICANAS S.A.,nome.sobrenome,cargo
ti@lasa.com.br,lasa.com.br,ti,,False,LOJAS AMERICANAS S.A.,nome.sobrenome,cargo
suporte@lasa.com.br,lasa.com.br,suporte,,False,LOJAS AMERICANAS S.A.,nome.sobrenome,cargo
carlos.silva@empresa.com.br,empresa.com.br,carlos,silva,False,GLOBO COMUNICACAO E PARTICIPACOES S/A,nome.sobrenome,
carlos@empresa.com.br,empresa.com.br,carlos,silva,False,GLOBO COMUNICACAO E PARTICIPACOES S/A,nome.sobrenome,
silva@empresa.com.br,empresa.com.br,carlos,silva,False,GLOBO COMUNICACAO E PARTICIPACOES S/A,nome.sobrenome,
c.silva@empresa.com.br,empresa.com.br,carlos,silva,False,GLOBO COMUNICACAO E PARTICIPACOES S/A,nome.sobrenome,
carlos.s@empresa.com.br,empresa.com.br,carlos,silva,False,GLOBO COMUNICACAO E PARTICIPACOES S/A,nome.sobrenome,
c.s@empresa.com.br,empresa.com.br,carlos,silva,False,GLOBO COMUNICACAO E PARTICIPACOES S/A,nome.sobrenome,
csilva@empresa.com.br,empresa.com.br,carlos,silva,False,GLOBO COMUNICACAO E PARTICIPACOES S/A,nome.sobrenome,
silvacarlos@empresa.com.br,empresa.com.br,carlos,silva,False,GLOBO COMUNICACAO E PARTICIPACOES S/A,nome.sobrenome,
carlos_silva@empresa.com.br,empresa.com.br,carlos,silva,False,GLOBO COMUNICACAO E PARTICIPACOES S/A,nome.sobrenome,
carlos-silva@empresa.com.br,empresa.com.br,carlos,silva,False,GLOBO COMUNICACAO E PARTICIPACOES S/A,nome.sobrenome,
carlos.silva1@empresa.com.br,empresa.com.br,carlos,silva,False,GLOBO COMUNICACAO E PARTICIPACOES S/A,nome.sobrenome,
carlos1@empresa.com.br,empresa.com.br,carlos,silva,False,GLOBO COMUNICACAO E PARTICIPACOES S/A,nome.sobrenome,
c.silva1@empresa.com.br,empresa.com.br,carlos,silva,False,GLOBO COMUNICACAO E PARTICIPACOES S/A,nome.sobrenome,
carlos99@empresa.com.br,empresa.com.br,carlos,silva,False,GLOBO COMUNICACAO E PARTICIPACOES S/A,nome.sobrenome,
carlossilva2024@empresa.com.br,empresa.com.br,carlos,silva,False,GLOBO COMUNICACAO E PARTICIPACOES S/A,nome.sobrenome,
c_silva@empresa.com.br,empresa.com.br,carlos,silva,False,GLOBO COMUNICACAO E PARTICIPACOES S/A,nome.sobrenome,
silva.c@empresa.com.br,empresa.com.br,carlos,silva,False,GLOBO COMUNICACAO E PARTICIPACOES S/A,nome.sobrenome,
silvac@empresa.com.br,empresa.com.br,carlos,silva,False,GLOBO COMUNICACAO E PARTICIPACOES S/A,nome.sobrenome,
silva.carlos@empresa.com.br,empresa.com.br,carlos,silva,False,GLOBO COMUNICACAO E PARTICIPACOES S/A,nome.sobrenome,
carlos.silvas@empresa.com.br,empresa.com.br,carlos,silva,False,GLOBO COMUNICACAO E PARTICIPACOES S/A,nome.sobrenome,
ana.souza@empresa.com.br,empresa.com.br,ana,souza,False,GLOBO COMUNICACAO E PARTICIPACOES S/A,nome.sobrenome,
ana@empresa.com.br,empresa.com.br,ana,souza,False,GLOBO COMUNICACAO E PARTICIPACOES S/A,nome.sobrenome,
souza@empresa.com.br,empresa.com.br,ana,souza,False,GLOBO COMUNICACAO E PARTICIPACOES S/A,nome.sobrenome,
c.souza@empresa.com.br,empresa.com.br,ana,souza,False,GLOBO COMUNICACAO E PARTICIPACOES S/A,nome.sobrenome,
ana.s@empresa.com.br,empresa.com.br,ana,souza,False,GLOBO COMUNICACAO E PARTICIPACOES S/A,nome.sobrenome,
c.s@empresa.com.br,empresa.com.br,ana,souza,False,GLOBO COMUNICACAO E PARTICIPACOES S/A,nome.sobrenome,
csilva@empresa.com.br,empresa.com.br,ana,souza,False,GLOBO COMUNICACAO E PARTICIPACOES S/A,nome.sobrenome,
souzaana@empresa.com.br,empresa.com.br,ana,souza,False,GLOBO COMUNICACAO E PARTICIPACOES S/A,nome.sobrenome,
ana_souza@empresa.com.br,empresa.com.br,ana,souza,False,GLOBO COMUNICACAO E PARTICIPACOES S/A,nome.sobrenome,
ana-souza@empresa.com.br,empresa.com.br,ana,souza,False,GLOBO COMUNICACAO E PARTICIPACOES S/A,nome.sobrenome,
ana.souza1@empresa.com.br,empresa.com.br,ana,souza,False,GLOBO COMUNICACAO E PARTICIPACOES S/A,nome.sobrenome,
ana1@empresa.com.br,empresa.com.br,ana,souza,False,GLOBO COMUNICACAO E PARTICIPACOES S/A,nome.sobrenome,
c.souza1@empresa.com.br,empresa.com.br,ana,souza,False,GLOBO COMUNICACAO E PARTICIPACOES S/A,nome.sobrenome,
ana99@empresa.com.br,empresa.com.br,ana,souza,False,GLOBO COMUNICACAO E PARTICIPACOES S/A,nome.sobrenome,
anasouza2024@empresa.com.br,empresa.com.br,ana,souza,False,GLOBO COMUNICACAO E PARTICIPACOES S/A,nome.sobrenome,
c_souza@empresa.com.br,empresa.com.br,ana,souza,False,GLOBO COMUNICACAO E PARTICIPACOES S/A,nome.sobrenome,
souza.c@empresa.com.br,empresa.com.br,ana,souza,False,GLOBO COMUNICACAO E PARTICIPACOES S/A,nome.sobrenome,
souzaa@empresa.com.br,empresa.com.br,ana,souza,False,GLOBO COMUNICACAO E PARTICIPACOES S/A,nome.sobrenome,
souza.ana@empresa.com.br,empresa.com.br,ana,souza,False,GLOBO COMUNICACAO E PARTICIPACOES S/A,nome.sobrenome,
ana.souzas@empresa.com.br,empresa.com.br,ana,souza,False,GLOBO COMUNICACAO E PARTICIPACOES S/A,nome.sobrenome,
joão.pereira@empresa.com.br,empresa.com.br,joão,pereira,False,GLOBO COMUNICACAO E PARTICIPACOES S/A,nome.sobrenome,
joão@empresa.com.br,empresa.com.br,joão,pereira,False,GLOBO COMUNICACAO E PARTICIPACOES S/A,nome.sobrenome,
pereira@empresa.com.br,empresa.com.br,joão,pereira,False,GLOBO COMUNICACAO E PARTICIPACOES S/A,nome.sobrenome,
c.pereira@empresa.com.br,empresa.com.br,joão,pereira,False,GLOBO COMUNICACAO E PARTICIPACOES S/A,nome.sobrenome,
joão.s@empresa.com.br,empresa.com.br,joão,pereira,False,GLOBO COMUNICACAO E PARTICIPACOES S/A,nome.sobrenome,
c.s@empresa.com.br,empresa.com.br,joão,pereira,False,GLOBO COMUNICACAO E PARTICIPACOES S/A,nome.sobrenome,
csilva@empresa.com.br,empresa.com.br,joão,pereira,False,GLOBO COMUNICACAO E PARTICIPACOES S/A,nome.sobrenome,
pereirajoão@empresa.com.br,empresa.com.br,joão,pereira,False,GLOBO COMUNICACAO E PARTICIPACOES S/A,nome.sobrenome,
joão_pereira@empresa.com.br,empresa.com.br,joão,pereira,False,GLOBO COMUNICACAO E PARTICIPACOES S/A,nome.sobrenome,
joão-pereira@empresa.com.br,empresa.com.br,joão,pereira,False,GLOBO COMUNICACAO E PARTICIPACOES S/A,nome.sobrenome,
joão.pereira1@empresa.com.br,empresa.com.br,joão,pereira,False,GLOBO COMUNICACAO E PARTICIPACOES S/A,nome.sobrenome,
joão1@empresa.com.br,empresa.com.br,joão,pereira,False,GLOBO COMUNICACAO E PARTICIPACOES S/A,nome.sobrenome,
c.pereira1@empresa.com.br,empresa.com.br,joão,pereira,False,GLOBO COMUNICACAO E PARTICIPACOES S/A,nome.sobrenome,
joão99@empresa.com.br,empresa.com.br,joão,pereira,False,GLOBO COMUNICACAO E PARTICIPACOES S/A,nome.sobrenome,
joãopereira2024@empresa.com.br,empresa.com.br,joão,pereira,False,GLOBO COMUNICACAO E PARTICIPACOES S/A,nome.sobrenome,
c_pereira@empresa.com.br,empresa.com.br,joão,pereira,False,GLOBO COMUNICACAO E PARTICIPACOES S/A,nome.sobrenome,
pereira.c@empresa.com.br,empresa.com.br,joão,pereira,False,GLOBO COMUNICACAO E PARTICIPACOES S/A,nome.sobrenome,
pereiraj@empresa.com.br,empresa.com.br,joão,pereira,False,GLOBO COMUNICACAO E PARTICIPACOES S/A,nome.sobrenome,
pereira.joão@empresa.com.br,empresa.com.br,joão,pereira,False,GLOBO COMUNICACAO E PARTICIPACOES S/A,nome.sobrenome,
joão.pereiras@empresa.com.br,empresa.com.br,joão,pereira,False,GLOBO COMUNICACAO E PARTICIPACOES S/A,nome.sobrenome,
diretoria@empresa.com.br,empresa.com.br,diretoria,,False,GLOBO COMUNICACAO E PARTICIPACOES S/A,nome.sobrenome,cargo
financeiro@empresa.com.br,empresa.com.br,financeiro,,False,GLOBO COMUNICACAO E PARTICIPACOES S/A,nome.sobrenome,cargo
contato@empresa.com.br,empresa.com.br,contato,,False,GLOBO COMUNICACAO E PARTICIPACOES S/A,nome.sobrenome,cargo
rh@empresa.com.br,empresa.com.br,rh,,False,GLOBO COMUNICACAO E PARTICIPACOES S/A,nome.sobrenome,cargo
ti@empresa.com.br,empresa.com.br,ti,,False,GLOBO COMUNICACAO E PARTICIPACOES S/A,nome.sobrenome,cargo
suporte@empresa.com.br,empresa.com.br,suporte,,False,GLOBO COMUNICACAO E PARTICIPACOES S/A,nome.sobrenome,cargo
